Data,Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM2.5 [jednostka ug/m3]),Katowice - ul. Kossutha (pył zawieszony PM10 [jednostka ug/m3])
2022-01-01,18.63,20.31,19.13,18.53,
2022-01-02,46.02,32.70,33.47,19.09,
2022-01-03,25.52,7.60,9.18,9.39,
2022-01-04,19.88,6.43,7.17,7.22,
2022-01-05,25.15,5.25,6.70,16.04,
2022-01-06,12.14,7.65,8.46,10.93,
2022-01-07,94.98,44.39,49.35,34.30,
2022-01-08,111.29,69.84,75.07,38.93,
2022-01-09,88.67,74.85,79.99,50.77,
2022-01-10,59.06,25.65,29.50,56.49,
2022-01-11,61.62,17.94,18.93,49.78,
2022-01-12,59.45,43.93,48.85,42.92,
2022-01-13,40.40,15.54,15.99,46.35,
2022-01-14,27.44,8.82,9.63,25.65,
2022-01-15,46.33,27.41,32.48,34.32,
2022-01-16,94.79,43.95,47.77,49.64,
2022-01-17,16.55,8.27,9.89,17.67,
2022-01-18,23.08,18.80,23.26,25.04,
2022-01-19,68.07,49.45,55.92,32.60,
2022-01-20,17.25,19.89,21.06,17.32,
2022-01-21,16.21,12.51,13.06,14.64,
2022-01-22,20.57,12.66,15.13,20.70,
2022-01-23,33.89,17.60,19.02,55.23,
2022-01-24,97.99,40.67,43.02,67.93,
2022-01-25,52.57,15.03,15.28,46.22,
2022-01-26,38.85,14.85,15.68,25.13,
2022-01-27,30.97,13.55,13.97,22.32,
2022-01-28,10.43,6.23,7.80,12.57,
2022-01-29,19.61,13.41,13.43,15.23,
2022-01-30,11.13,8.43,8.61,8.56,
2022-01-31,46.03,23.41,26.33,36.54,
2022-02-01,45.30,24.54,26.48,28.06,
2022-02-02,12.78,6.72,7.95,12.20,
2022-02-03,28.70,28.91,31.70,19.70,
2022-02-04,52.04,79.93,82.83,22.45,
2022-02-05,24.87,13.04,13.49,14.92,
2022-02-06,12.35,4.63,5.36,6.77,
2022-02-07,14.26,6.23,7.20,9.42,
2022-02-08,31.13,8.72,10.14,14.20,
2022-02-09,22.56,12.60,12.90,17.09,
2022-02-10,68.83,22.91,24.22,16.82,
2022-02-11,41.27,11.29,11.95,22.25,
2022-02-12,52.01,32.57,35.01,26.56,
2022-02-13,85.53,45.30,49.02,31.50,
2022-02-14,99.84,23.64,28.09,47.71,
2022-02-15,92.61,42.70,43.85,60.06,
2022-02-16,79.09,33.66,34.84,23.00,
2022-02-17,14.58,4.92,5.83,4.76,
2022-02-18,32.96,11.82,13.16,7.85,
2022-02-19,22.20,7.05,10.31,8.51,
2022-02-20,21.79,8.69,12.85,7.48,
2022-02-21,22.46,5.15,7.85,6.04,
2022-02-22,35.42,8.78,12.24,9.91,
2022-02-23,37.15,10.55,15.13,17.06,
2022-02-24,85.29,34.34,44.48,27.33,
2022-02-25,54.37,30.22,32.27,15.92,
2022-02-26,60.26,21.88,23.95,45.29,
2022-02-27,40.66,18.54,21.77,35.51,
2022-02-28,40.61,12.48,14.39,34.20,
2022-03-01,71.05,14.24,17.16,46.07,
2022-03-02,97.87,27.47,32.32,59.28,
2022-03-03,109.50,41.97,47.05,82.29,
2022-03-04,45.56,41.29,41.18,35.67,
2022-03-05,35.54,30.56,29.21,38.11,
2022-03-06,27.93,16.21,15.77,37.35,
2022-03-07,53.65,32.50,31.77,42.71,
2022-03-08,48.58,22.44,23.73,45.93,
2022-03-09,74.69,31.53,30.92,58.77,
2022-03-10,51.66,16.59,17.05,22.95,
2022-03-11,50.58,32.24,37.87,30.42,
